"diagnosis"	"phenotype"	"mean.untreated"	"mean.treated"	"t.test"	"p.val"	"FDR"
"MFS"	"Bcells"	13.599961656125	5.914722927125	0.596772400634777	0.569449123032366	0.939758595305474
"MFS"	"CD11c_HLADR_DCs"	28.415684107375	23.38874518575	0.229716388648689	0.824880279814681	0.939758595305474
"MFS"	"CD163_CD204_HLADR_Macrophages"	45.731987875	48.359587832375	-0.222433285767222	0.830327297156417	0.939758595305474
"MFS"	"CD163_CD204_HLADR_Monocytes"	118.7472706525	142.55933219625	-0.727069748073856	0.490777942886952	0.939758595305474
"MFS"	"CD163_CD204_Macrophages"	49.912817911125	31.76593519125	1.05594352149424	0.3260692237028	0.900696226136948
"MFS"	"CD163_CD204_Monocytes"	17.110503514375	30.818289855	-2.06873483898938	0.0773611073052372	0.618888858441897
"MFS"	"CD163_HLADR_Macrophages"	60.251594558375	66.63324942375	-0.252644838874492	0.807800980031465	0.939758595305474
"MFS"	"CD163_HLADR_Monocytes"	150.67101323625	183.74728891625	-1.02889903129742	0.337761084801356	0.900696226136948
"MFS"	"CD163_Macrophages"	73.12341913	102.17248371375	-1.29954383910382	0.234915756697977	0.751730421433526
"MFS"	"CD163_Monocytes"	175.31822100125	192.599940335	-0.542078915265904	0.604582856274516	0.939758595305474
"MFS"	"CD56_ILCs"	3.539561318625	2.96065453425	0.421125005757712	0.686292793269488	0.939758595305474
"MFS"	"CD56_Tumor"	44.131607257125	3.39608288775	2.24632978223403	0.0595194875767007	0.618888858441897
"MFS"	"CD57_ILCs"	1.79990686375	1.782011440875	0.0296599742003061	0.977166153065886	0.977166153065886
"MFS"	"CD57_Tcells"	5.111623797375	10.38773337675	-2.52220649603802	0.0396823421621698	0.618888858441897
"MFS"	"CD57_Tumor"	31.4473305715	18.11454417825	0.904188149108546	0.395946444500812	0.939758595305474
"MFS"	"CD8_KI67_Tcells"	13.387014514375	14.6407128095	-0.189015790189792	0.855443958260288	0.939758595305474
"MFS"	"CD8_Tcells"	55.389957850625	61.04653326075	-0.191080331462784	0.853886687227925	0.939758595305474
"MFS"	"D240_Tumor"	74.183476902125	105.014245163125	-1.44378482637737	0.192021166582463	0.751730421433526
"MFS"	"gd_Tcells"	1.1450141855	1.34963541075	-0.355628006212965	0.73259468949953	0.939758595305474
"MFS"	"Granulocytes"	16.22456819075	19.851184650875	-0.374669917198157	0.718998800524228	0.939758595305474
"MFS"	"HLADR_DCs"	121.734614021125	139.61559302375	-0.400523418644398	0.700713521647761	0.939758595305474
"MFS"	"ILCs"	23.421737740125	22.376355	0.116679416205991	0.910391139202178	0.939758595305474
"MFS"	"KI67_ILCs"	10.287298615125	4.791275185375	1.67195404497834	0.138453999459636	0.751730421433526
"MFS"	"KI67_Tcells"	16.386141427875	17.593772541875	-0.143975598599927	0.889577026733662	0.939758595305474
"MFS"	"KI67_Tumor"	192.21323408625	82.80826179375	2.7332760952318	0.0292002241326999	0.618888858441897
"MFS"	"Macrophages"	7.003315111875	15.0052469795	-1.33826617788112	0.222643879560501	0.751730421433526
"MFS"	"Monocytes"	51.7402346025	59.6289207025	-0.60212197344879	0.566077513210869	0.939758595305474
"MFS"	"PlasmaBcells"	31.26804170875	20.36656745575	1.31480409849434	0.230010917138672	0.751730421433526
"MFS"	"Tcells"	75.691337925875	93.42589103	-0.701827392227594	0.505444845798082	0.939758595305474
"MFS"	"Tregs"	22.492795386	18.2102270115	0.720284447795012	0.494692784454223	0.939758595305474
"MFS"	"Tumor"	1594.573764575	1278.069163475	1.30026560085055	0.234681745022759	0.751730421433526
"MFS"	"Vessels"	141.222708735	114.10270001375	0.869304187658951	0.413492138199378	0.939758595305474
