"diagnosis"	"phenotype"	"mean.untreated"	"mean.treated"	"t.test"	"p.val"	"FDR"
"USTS"	"Bcells"	18.2992948526154	5.72975493384615	1.07865805282342	0.301945112620395	0.406871359796855
"USTS"	"CD11c_HLADR_DCs"	22.1087131195385	20.1571935916923	0.271900954403102	0.790319715931963	0.815813900316865
"USTS"	"CD163_CD204_HLADR_Macrophages"	62.3918601059231	47.1128729546154	1.10193276374261	0.292101691274309	0.406871359796855
"USTS"	"CD163_CD204_HLADR_Monocytes"	256.586609509231	152.559326988462	2.7624941003011	0.0171994899259396	0.0530710145243226
"USTS"	"CD163_CD204_Macrophages"	29.1191305772308	20.3659780755385	1.06893126430915	0.306131909733185	0.406871359796855
"USTS"	"CD163_CD204_Monocytes"	49.4447756215385	23.7386195988462	3.81192643662447	0.00247554041006537	0.0158434586244184
"USTS"	"CD163_HLADR_Macrophages"	135.477630667692	66.7035555161538	2.73069032033194	0.0182431612427359	0.0530710145243226
"USTS"	"CD163_HLADR_Monocytes"	342.732036574615	194.497333096154	5.00055008311149	0.000309026445354372	0.00329628208377997
"USTS"	"CD163_Macrophages"	205.140001465385	93.5702346623077	3.16241701356616	0.00818403893340081	0.0327361557336032
"USTS"	"CD163_Monocytes"	343.114992860769	154.302311036154	5.75162694050885	9.14001146223796e-05	0.00208137293942981
"USTS"	"CD56_ILCs"	3.83339066184615	3.14101337192308	0.827458813405137	0.424127019960379	0.484716594240433
"USTS"	"CD56_Tumor"	4.19737445269231	2.329682618	2.01834188893148	0.066478412048366	0.125135834443983
"USTS"	"CD57_ILCs"	3.15703846876923	1.88654421592308	1.22659102804229	0.243499892200183	0.371047454781232
"USTS"	"CD57_Tcells"	6.59496507046154	23.0421009619231	-3.08736842677492	0.00940822246195284	0.033451457642499
"USTS"	"CD57_Tumor"	25.3866725179231	14.3583078801538	3.44589087929153	0.00484155182410302	0.0226332296814958
"USTS"	"CD8_KI67_Tcells"	5.10414959061538	7.261638217	-0.963836321427383	0.354149876127354	0.424765450609965
"USTS"	"CD8_Tcells"	26.4884556203846	52.9325055227692	-2.25191732701605	0.0438453845999257	0.107927100553663
"USTS"	"D240_Tumor"	135.646124546769	86.7247318057692	2.47119420021324	0.0294290482278857	0.0784774619410284
"USTS"	"gd_Tcells"	2.98893370338462	3.30319908884615	-0.177293087356451	0.862235545479663	0.862235545479663
"USTS"	"Granulocytes"	17.733851529	32.2461095915385	-1.34222611577288	0.204365718155689	0.326985149049102
"USTS"	"HLADR_DCs"	176.678321891538	128.501064492308	1.76455698146163	0.103051817931501	0.183203231878224
"USTS"	"ILCs"	33.6494670112308	25.7082829925385	2.11706885504387	0.0558253674616343	0.119094117251487
"USTS"	"KI67_ILCs"	9.04077048892308	4.52823163907692	2.13136369311879	0.0544224869166957	0.119094117251487
"USTS"	"KI67_Tcells"	11.064009085	5.96468270723077	2.0764326572455	0.0600008470361869	0.120001694072374
"USTS"	"KI67_Tumor"	231.753775282308	74.8672581306154	5.5289186320414	0.000130085808714363	0.00208137293942981
"USTS"	"Macrophages"	20.9637381934615	14.8055124591538	0.491805478437217	0.631730014800524	0.673845349120559
"USTS"	"Monocytes"	90.6506513584615	70.0403233515385	1.69559775224844	0.115728769295196	0.19491161144454
"USTS"	"PlasmaBcells"	29.2772136718462	49.7337153946923	-0.64091609997241	0.533626217867524	0.588828930060717
"USTS"	"Tcells"	83.9616993861538	67.8651365753077	0.955051779182419	0.358395848952158	0.424765450609965
"USTS"	"Tregs"	23.3554526953846	18.6778740468462	1.04218453571099	0.317868249841293	0.406871359796855
"USTS"	"Tumor"	2121.68388005385	1045.73733443846	4.57814275831109	0.000634469206071333	0.00507575364857066
"USTS"	"Vessels"	215.333177017692	104.809978213077	3.43377678101795	0.0049510189928272	0.0226332296814958
